Grapheme	IPA
biūhti	b ɪ u h t ɪ
biūhts	b ɪ u h t s
biuþs	b ɪ u θ s
biwaibj	b ɪ w ɛ β j
biwandj	b ɪ w a n d j
biwind	b ɪ w ɪ n d
biwis	b ɪ w ɪ s
blagks	b l a ŋ k s
blandansik	b l a n d a n s ɪ k
blas	b l a s
blauts	b l ɔ t s
blauþj	b l ɔ θ j
blauþs	b l ɔ θ s
bleis	b l i s
bleiþei	b l i θ i
bleiþeins	b l i θ i n s
bleiþj	b l i θ j
bleiþs	b l i θ s
blēs	b l e s
blēsi	b l e s ɪ
blēsj	b l e s j
blēstj	b l e s t j
blēsts	b l e s t s
bliggw	b l ɪ ɡ ɡ w
blindj	b l ɪ n d j
blindn	b l ɪ n d n̥
blinds	b l ɪ n d s
blōma	b l o m a
blōstr	b l o s t r̥
blōstreis	b l o s t r i s
blōt	b l o t
blōteins	b l o t i n s
blōtinassus	b l o t ɪ n a sː u s
blōþ	b l o θ
blōþarinnands	b l o θ a r ɪ nː a n d s
blunds	b l u n d s
bnáu	b n ɔ
boga	b o ɣ a
bōka	b o k a
bōkāreis	b o k a r i s
bōta	b o t a
bōtj	b o t j
braƕ	b r a ʍ
braidei	b r ɛ ð i
braidj	b r ɛ ð j
braiƕ	b r ɛ ʍ
braiþs	b r ɛ θ s
brakja	b r a k j a
bramj	b r a m j
brammōn	b r a mː o n
branda	b r a n d a
brands	b r a n d s
brannj	b r a nː j
brasa	b r a s a
brasōn	b r a s o n
brauþ	b r ɔ θ
breen	b r e e n
breuw	b r e u w
bridila	b r ɪ ð ɪ l a
brigdil	b r ɪ ɣ d ɪ l
brigg	b r ɪ ŋ ɡ
brik	b r ɪ k
brinn	b r ɪ nː
brinnō	b r ɪ nː o
brist	b r ɪ s t
briþ	b r ɪ θ
broe	b r o e
brōj	b r o j
broks	b r o k s
brōþar	b r o θ a r
brōþrahans	b r o θ r a h a n s
brōþrahs	b r o θ r a h s
brōþrulubō	b r o θ r u l u β o
brugdj	b r u ɣ d j
bruka	b r u k a
brukja	b r u k j a
brūkj	b r u k j
brukn	b r u k n̥
brūks	b r u k s
brunjō	b r u n j o
brunna	b r u nː a
brūns	b r u n s
brunsts	b r u n s t s
brust	b r u s t
brusti	b r u s t ɪ
brustj	b r u s t j
brusts	b r u s t s
brutilō	b r u t ɪ l o
brutōn	b r u t o n
bruts	b r u t s
bruþ	b r u θ
brūþfaþs	b r u θ ɸ a θ s
brūþs	b r u θ s
bruzdōn	b r u z d o n
buggja	b u ŋ ɡ j a
bugj	b u ɣ j
būks	b u k s
Bulgar	b u l ɡ a r
bundn	b u n d n̥
būrjō	b u r j o
būska	b u s k a
būsns	b u s n̥ s
bwssaún	b w sː ɔ n
cadariou	c a ð a r ɪ o u
contropare	c o n t r o p a r e
contropatio	c o n t r o p a t ɪ o
criten	c r ɪ t e n
dab	d a β
daddj	d a dː j
dagis	d a ɣ ɪ s
dags	d a ɣ s
daigs	d ɛ ɣ s
daila	d ɛ l a
dailj	d ɛ l j
dails	d ɛ l s
daimōnāreis	d ɛ m o n a r i s
dalaþ	d a l a θ
dalaþa	d a l a θ a
dalaþrō	d a l a θ r o
dals	d a l s
dammj	d a mː j
damms	d a mː s
Danila	d a n ɪ l a
Dans	d a n s
Danus	d a n u s
darnj	d a r n j
darns	d a r n̥ s
daubei	d ɔ β i
daubiþa	d ɔ β ɪ θ a
daubj	d ɔ β j
daubn	d ɔ β n̥
daufs	d ɔ ɸ s
daúhtar	d ɔ h t a r
daúhts	d ɔ h t s
dauka	d ɔ k a
dauns	d ɔ n s
daupeins	d ɔ p i n s
daupj	d ɔ p j
daupjands	d ɔ p j a n d s
daúr	d ɔ r
daúrawarda	d ɔ r a w a r d a
daúrawardō	d ɔ r a w a r d o
daúrawards	d ɔ r a w a r d s
daúri	d ɔ r ɪ
daúrō	d ɔ r o
daúrs	d ɔ r s
dauþeins	d ɔ θ i n s
dauþj	d ɔ θ j
dauþn	d ɔ θ n̥
dauþs	d ɔ θ s
dauþubleis	d ɔ θ u β l i s
dauþus	d ɔ θ u s
dēdja	d e ð j a
deinō	d i n o
deis	d i s
deisei	d i s i
dēþs	d e θ s
diabaúlus	d ɪ a β ɔ l u s
diabula	d ɪ a β u l a
diakaúnus	d ɪ a k ɔ n u s
dig	d ɪ ɣ
digrei	d ɪ ɣ r i
